Algorithm,Alpha index,Alpha value,Cal_Run,Calibration set size
SE,103,0.14049586776859502,0,120
SE,95,0.20661157024793386,1,120
SE_no_mon,117,0.024793388429752095,1,120
SE_ours,113,0.05785123966942152,1,120
UCB,101,0.15702479338842978,1,120
UCB_no_mon,119,0.008264462809917328,1,120
UCB_ours,106,0.11570247933884292,1,120
SE,95,0.20661157024793386,1,120
SE_no_mon,117,0.024793388429752095,1,120
SE_ours,113,0.05785123966942152,1,120
UCB,101,0.15702479338842978,1,120
UCB_no_mon,119,0.008264462809917328,1,120
UCB_ours,106,0.11570247933884292,1,120
SE,91,0.23966942148760328,1,120
SE_no_mon,115,0.04132231404958675,1,120
SE_ours,113,0.05785123966942152,1,120
UCB,20,0.8264462809917356,1,120
UCB_no_mon,116,0.03305785123966942,1,120
UCB_ours,103,0.14049586776859502,1,120
SE,103,0.14049586776859502,0,120
